date,app_booking hour,Surge factor
20240216,14:00:00,1.655629139
20240216,15:07:00,1.730927741
20240216,16:00:00,1.70936275
20240216,17:00:00,1.643520421
20240216,18:00:00,1.705281918
20240216,19:00:00,1.354963249
20240216,20:00:00,1.652497851
20240216,21:00:00,1.651165221
20240216,22:00:00,1.622371651
20240216,23:00:00,1.593339949
20240217,00:00:00,1.561943224
20240217,06:00:00,1.4140723
20240217,07:00:00,1.402829846
20240217,08:00:00,1.457760784
20240217,09:00:00,1.403765926
20240217,10:00:00,1.40483889
20240217,11:00:00,1.578836202
20240217,12:00:00,1.612438814
20240217,13:00:00,1.585000935
20240217,14:00:00,1.657406535
20240217,15:00:00,1.507746219
20240217,16:00:00,1.549576956
20240217,17:00:00,1.773082651
20240217,18:00:00,1.671747468
20240217,19:00:00,1.734768523
20240217,20:00:00,1.477560922
20240217,21:00:00,1.422428052
20240217,22:00:00,1.51303788
20240217,23:00:00,1.54109589
20240218,00:00:00,1.531138892
20240218,06:00:00,1.3509006
20240218,07:00:00,1.406231766
20240218,08:00:00,1.439837496
20240218,09:00:00,1.362505654
20240218,10:00:00,1.386853084
20240218,11:00:00,1.35238303
20240218,12:00:00,1.537790381
20240218,13:00:00,1.374195659
20240218,14:00:00,1.401461446
20240218,15:00:00,1.413313195
20240218,16:00:00,1.378181434
20240218,17:00:00,1.461021061
20240218,18:00:00,1.36422911
20240218,19:00:00,1.375530044
20240218,20:00:00,1.369004076
20240218,21:00:00,1.342878044
20240218,22:00:00,1.369940241
20240218,23:00:00,1.396783166
20240219,00:00:00,1.424269043
20240219,06:00:00,1.25075045
20240219,07:00:00,1.349182466
20240219,08:00:00,1.637234892
20240219,09:00:00,1.369004076
20240219,10:00:00,1.40558052
20240219,11:00:00,1.337397974
20240219,12:00:00,1.312189685
20240219,13:00:00,1.391735894
20240219,14:00:00,1.363778869
20240219,15:00:00,1.40131773
20240219,16:00:00,1.519711104
20240219,17:00:00,1.427445486
20240219,18:00:00,1.57652195
20240219,19:00:00,1.711382476
20240219,20:00:00,1.410805727
20240219,21:00:00,1.402524544
20240219,22:00:00,1.386853084
20240219,23:00:00,1.399220687
20240220,00:00:00,1.430543356
20240220,06:00:00,1.38253986
20240220,07:00:00,1.335783097
20240220,08:00:00,1.549017997
20240220,09:00:00,1.445478363
20240220,10:00:00,1.381398429
20240220,11:00:00,1.278866501
20240220,12:00:00,1.388185226
20240220,13:00:00,1.381922408
20240220,14:00:00,1.394322399
20240220,15:00:00,1.471283944
20240220,16:00:00,1.479263091
20240220,17:00:00,1.5587427
20240220,18:00:00,1.54564236
20240220,19:00:00,1.557560336
20240220,20:00:00,1.51824682
20240220,21:00:00,1.420424543
20240220,22:00:00,1.388114617
20240220,23:00:00,1.394561793
20240221,00:00:00,1.401640348
20240214,06:00:00,1.387755102
20240214,07:00:00,1.329341317
20240214,08:00:00,1.337142857
20240214,09:00:00,1.278787879
20240214,10:00:00,1.317365269
20240214,11:00:00,1.372972973
20240214,12:00:00,1.336898396
20240214,13:00:00,1.36
20240214,14:00:00,1.284153005
20240214,15:00:00,1.315508021
20240214,16:00:00,1.30964467
20240214,17:00:00,1.261083744
20240214,18:00:00,1.279187817
20240214,19:00:00,1.291891892
20240214,20:00:00,1.262857143
20240214,21:00:00,1.289940828
20240214,22:00:00,1.369127517
20240214,23:00:00,1.367741935
20240215,00:00:00,1.394557823
20240215,06:00:00,1.298136646
20240215,07:00:00,1.231638418
20240215,08:00:00,1.302857143
20240215,09:00:00,1.282208589
20240215,10:00:00,1.372670807
20240215,11:00:00,1.458100559
20240215,12:00:00,1.397905759
20240215,13:00:00,1.389830508
20240215,14:00:00,1.414201183
20240215,15:00:00,1.356020942
20240215,16:00:00,1.360406091
20240215,17:00:00,1.326203209
20240215,18:00:00,1.313513514
20240215,19:00:00,1.333333333
20240215,20:00:00,1.315151515
20240215,21:00:00,1.35483871
20240215,22:00:00,1.370860927
20240215,23:00:00,1.364779874
20240216,00:00:00,1.394557823
20240216,06:00:00,1.38410596
20240216,07:00:00,1.397350993
20240216,08:00:00,1.34591195
20240216,09:00:00,1.301886792
20240216,10:00:00,1.347826087
20240216,11:00:00,1.423280423
20240216,12:00:00,1.392265193
20240216,13:00:00,1.360946746
20240216,14:00:00,1.327683616
20240216,15:00:00,1.312169312
20240216,16:00:00,1.342541436
20240216,17:00:00,1.307692308
20240216,18:00:00,1.333333333
20240216,19:00:00,1.331428571
20240216,20:00:00,1.347826087
20240216,21:00:00,1.374193548
20240216,22:00:00,1.413793103
20240216,23:00:00,1.394904459
20240217,00:00:00,1.369127517
20240217,06:00:00,1.394557823
20240217,07:00:00,1.369127517
20240217,08:00:00,1.377483444
20240217,09:00:00,1.314465409
20240217,10:00:00,1.333333333
20240217,11:00:00,1.459627329
20240217,12:00:00,1.35828877
20240217,13:00:00,1.363636364
20240217,14:00:00,1.315789474
20240217,15:00:00,1.325714286
20240217,16:00:00,1.351955307
20240217,17:00:00,1.365714286
20240217,18:00:00,1.333333333
20240217,19:00:00,1.353293413
20240217,20:00:00,1.305389222
20240217,21:00:00,1.320754717
20240217,22:00:00,1.375838926
20240217,23:00:00,1.374193548
20240218,00:00:00,1.393103448
20240218,06:00:00,1.41958042
20240218,07:00:00,1.431654676
20240218,08:00:00,1.4
20240218,09:00:00,1.326797386
20240218,10:00:00,1.361290323
20240218,11:00:00,1.363057325
20240218,12:00:00,1.348387097
20240218,13:14:00,1.405228758
20240218,14:00:00,1.392156863
20240218,15:00:00,1.350318471
20240218,16:00:00,1.387096774
20240218,17:00:00,1.333333333
20240218,18:00:00,1.295857988
20240218,19:02:00,1.343558282
20240218,20:00:00,1.310559006
20240218,21:00:00,1.35483871
20240218,22:00:00,1.367346939
20240218,23:00:00,1.350993377
20240219,00:00:00,1.377622378
20240219,06:00:00,1.33557047
20240219,07:00:00,1.243093923
20240219,08:00:00,1.268156425
20240219,09:00:00,1.301886792
